series_name,avg_2004,avg_2005,avg_2006,avg_2007,avg_2008,avg_2009,avg_2010,avg_2011,avg_2012,avg_2013,avg_2014,avg_2015,avg_2016,avg_2017,avg_2018,avg_2019,avg_2020,avg_2021,avg_2022,avg_2023
GDP per capita (constant 2015 US$),13727.901736893284,14056.314737711456,14958.356373244509,15486.721313896876,15525.17935437208,14890.085527189607,15137.34825786615,15419.712982968611,15546.611115559164,15646.532952613543,15843.089954676148,16773.5666813963,16302.732398607926,16566.838847115898,16835.610749967345,17148.727338639084,15834.302798219222,16912.83107633915,16883.543848288096,14759.228494977475
Adjusted net national income per capita (annual % growth),3.8298646075842866,6.941146877180166,33.46045976273469,-0.7537360968456893,2.365239862866224,-1.5922284168679062,3.6533334571935905,4.985966326836142,4.602542596241049,2.2895604105054206,2.2141964844779363,1.782150181386706,2.323959231989262,2.6288789026706567,3.0591788604925667,1.9153188007177075,-5.907134851147801,3.9155836477369514,,
Research and development expenditure (% of GDP),0.8308186212039372,0.83730731347716,0.9425220004337675,0.845933125296142,0.9025021595208302,0.914125998729938,0.9345960172834579,0.9679944601476842,1.0155200071546224,0.9721823177447445,0.9818965894077998,0.9760419569599131,0.9895363719315157,1.0237247906030806,1.0133461870313825,1.1025890339246038,1.1779023584197548,1.2395824077008644,0.4488603477847989,
"Employment to population ratio, 15+, total (%) (national estimate)",55.59819607843138,55.92544247787608,55.8772844036697,55.68301785714285,55.64431249999998,54.68836507936507,56.226343283582096,57.29946825396827,55.857440000000004,57.829975409836045,57.16804545454543,57.65910743801653,57.06676470588236,55.92117968750001,57.15935344827584,57.58181481481481,56.27871052631575,56.14907017543858,57.765060344827596,59.06962650602409
Tax revenue (% of GDP),16.969742059802027,17.38548597041822,17.74175340246301,17.938199395613424,17.144424787090074,15.937066043476408,16.435094836400236,16.95884754493983,17.20633389548132,16.86825333232093,16.737159192192408,16.33279983667124,16.418992368492393,16.356727899704723,16.65874519404421,16.826656647285557,16.397060439189392,16.599590754649235,17.4562874725468,11.4729993806523
GDP growth (annual %),5.763790670016115,4.9093359759292525,5.633708198334923,5.578885348508074,3.996445003127069,-0.17761283890542015,4.164520207168981,3.5790934344321803,3.1550148172279524,2.9539310232253166,3.1799948223191024,2.6805100399196085,3.122560084165123,3.185194326779589,2.969032062004622,2.8915648371372265,-5.257576626705374,6.179930159721782,4.368901245517208,3.2362658077267312
